id,gsn,shardId,latency,dataGenTime,totalBytes,totalTime
0,0,0,21610219,27892,1000000,199571203725
1,1,0,19379730,550,1000000,199571203725
2,2,0,20689224,605,1000000,199571203725
3,3,0,19593867,605,1000000,199571203725
4,4,0,19980573,578,1000000,199571203725
5,5,0,19754224,581,1000000,199571203725
6,6,0,20048380,605,1000000,199571203725
7,7,0,19671076,570,1000000,199571203725
8,8,0,20397757,629,1000000,199571203725
9,9,0,19831394,501,1000000,199571203725
10,10,0,20227185,645,1000000,199571203725
11,11,0,19830222,645,1000000,199571203725
12,12,0,19786145,628,1000000,199571203725
13,13,0,20359003,622,1000000,199571203725
14,14,0,20127814,605,1000000,199571203725
15,15,0,19918314,588,1000000,199571203725
16,16,0,19859910,514,1000000,199571203725
17,17,0,20726935,504,1000000,199571203725
18,18,0,19618419,411,1000000,199571203725
19,19,0,19863811,631,1000000,199571203725
20,20,0,19915654,479,1000000,199571203725
21,21,0,19939126,625,1000000,199571203725
22,22,0,19564369,534,1000000,199571203725
23,23,0,20593327,622,1000000,199571203725
24,24,0,19710882,632,1000000,199571203725
25,25,0,20478974,628,1000000,199571203725
26,26,0,19660187,608,1000000,199571203725
27,27,0,19853666,635,1000000,199571203725
28,28,0,20138471,594,1000000,199571203725
29,29,0,20228897,615,1000000,199571203725
30,30,0,19645187,596,1000000,199571203725
31,31,0,20028937,648,1000000,199571203725
32,32,0,19766225,618,1000000,199571203725
33,33,0,20352992,675,1000000,199571203725
34,34,0,20094285,621,1000000,199571203725
35,35,0,19727373,608,1000000,199571203725
36,36,0,19943508,677,1000000,199571203725
37,37,0,20696932,668,1000000,199571203725
38,38,0,19787689,718,1000000,199571203725
39,39,0,19839122,615,1000000,199571203725
40,40,0,20189143,507,1000000,199571203725
41,41,0,19666028,612,1000000,199571203725
42,42,0,19546847,478,1000000,199571203725
43,43,0,20508897,482,1000000,199571203725
44,44,0,20027927,561,1000000,199571203725
45,45,0,19836092,471,1000000,199571203725
46,46,0,20061562,502,1000000,199571203725
47,47,0,20446822,609,1000000,199571203725
