id,gsn,shardId,latency(ns),dataGenTime(ns),totalBytes,totalTime(ns)
0,155,0,3782179,33119,625000,18622763705
1,173,0,5439962,279,625000,18622763705
2,191,0,1964810,667,625000,18622763705
3,202,0,2130934,428,625000,18622763705
4,218,0,2775625,291,625000,18622763705
5,234,0,2357832,320,625000,18622763705
6,248,0,2757769,825,625000,18622763705
7,273,0,3644491,702,625000,18622763705
8,280,0,2601741,268,625000,18622763705
9,296,0,3190247,416,625000,18622763705
10,319,0,2749086,611,625000,18622763705
11,331,0,4293312,381,625000,18622763705
12,358,0,3610735,678,625000,18622763705
13,375,0,2807984,698,625000,18622763705
14,384,0,2271535,472,625000,18622763705
15,394,0,8262200,458,625000,18622763705
16,411,0,2721719,611,625000,18622763705
17,435,0,3224155,619,625000,18622763705
18,444,0,4014980,611,625000,18622763705
19,462,0,4330968,375,625000,18622763705
20,479,0,2092783,638,625000,18622763705
21,495,0,2211059,615,625000,18622763705
22,510,0,2186030,551,625000,18622763705
23,526,0,4697839,588,625000,18622763705
24,542,0,2525310,641,625000,18622763705
25,559,0,2895437,434,625000,18622763705
26,576,0,2996156,444,625000,18622763705
27,588,0,3015438,341,625000,18622763705
28,604,0,2922587,485,625000,18622763705
29,624,0,2677755,602,625000,18622763705
30,638,0,2908685,674,625000,18622763705
31,653,0,2126328,562,625000,18622763705
32,668,0,1919641,418,625000,18622763705
33,678,0,2235329,361,625000,18622763705
34,688,0,3326538,718,625000,18622763705
35,703,0,2560428,361,625000,18622763705
36,719,0,2366058,397,625000,18622763705
37,735,0,2717662,378,625000,18622763705
38,751,0,2978268,487,625000,18622763705
39,767,0,2503850,554,625000,18622763705
40,783,0,2743680,468,625000,18622763705
41,799,0,3176284,598,625000,18622763705
42,815,0,2786152,618,625000,18622763705
43,829,0,2764582,538,625000,18622763705
44,848,0,3080674,548,625000,18622763705
45,858,0,3078770,581,625000,18622763705
46,880,0,2964057,684,625000,18622763705
47,896,0,2738384,495,625000,18622763705
48,914,0,2967115,467,625000,18622763705
49,928,0,3152921,729,625000,18622763705
50,943,0,2677140,275,625000,18622763705
51,958,0,2989977,339,625000,18622763705
52,977,0,3391227,528,625000,18622763705
53,989,0,1878359,554,625000,18622763705
54,999,0,2589703,327,625000,18622763705
55,1015,0,3662072,568,625000,18622763705
56,1033,0,2761362,450,625000,18622763705
57,1046,0,2404156,505,625000,18622763705
58,1062,0,2488829,343,625000,18622763705
59,1078,0,2077160,451,625000,18622763705
60,1087,0,2190069,321,625000,18622763705
61,1103,0,3268912,271,625000,18622763705
62,1124,0,2959009,411,625000,18622763705
63,1135,0,3277600,444,625000,18622763705
64,1155,0,3205883,437,625000,18622763705
65,1175,0,2244220,511,625000,18622763705
66,1195,0,3027727,498,625000,18622763705
67,1206,0,4608354,561,625000,18622763705
68,1224,0,2986794,376,625000,18622763705
69,1242,0,2519143,899,625000,18622763705
70,1259,0,2619213,361,625000,18622763705
71,1272,0,3334083,585,625000,18622763705
72,1293,0,3337438,638,625000,18622763705
73,1311,0,2909342,627,625000,18622763705
74,1325,0,2771845,582,625000,18622763705
75,1342,0,3898046,435,625000,18622763705
76,1359,0,3506421,618,625000,18622763705
77,1379,0,2242075,655,625000,18622763705
78,1397,0,3231904,545,625000,18622763705
79,1412,0,2853998,571,625000,18622763705
80,1430,0,3758794,558,625000,18622763705
81,1447,0,2692694,578,625000,18622763705
82,1463,0,2819828,471,625000,18622763705
83,1478,0,3156942,658,625000,18622763705
84,1495,0,2845646,635,625000,18622763705
85,1509,0,2666756,270,625000,18622763705
86,1525,0,1913159,454,625000,18622763705
87,1540,0,1857811,226,625000,18622763705
88,1554,0,2109191,474,625000,18622763705
89,1566,0,1879192,277,625000,18622763705
90,1583,0,3886004,401,625000,18622763705
91,1599,0,2497672,330,625000,18622763705
92,1619,0,3344604,689,625000,18622763705
93,1636,0,3387477,635,625000,18622763705
94,1652,0,3238216,387,625000,18622763705
95,1665,0,2991974,411,625000,18622763705
96,1685,0,2763907,595,625000,18622763705
97,1702,0,1866491,702,625000,18622763705
98,1716,0,2344474,582,625000,18622763705
99,1733,0,2944176,1079,625000,18622763705
100,1749,0,2177286,682,625000,18622763705
101,1760,0,3270994,323,625000,18622763705
102,1777,0,3099493,565,625000,18622763705
103,1796,0,2893350,358,625000,18622763705
104,1813,0,2717579,692,625000,18622763705
105,1827,0,4289200,551,625000,18622763705
106,1852,0,3658150,645,625000,18622763705
107,1868,0,2670472,605,625000,18622763705
108,1881,0,4269920,391,625000,18622763705
109,1900,0,2972254,469,625000,18622763705
110,1914,0,2928374,587,625000,18622763705
111,1936,0,3986376,506,625000,18622763705
112,1956,0,2977389,521,625000,18622763705
113,1972,0,3226607,578,625000,18622763705
114,1989,0,3132805,587,625000,18622763705
115,2005,0,2877859,655,625000,18622763705
116,2019,0,2582890,478,625000,18622763705
117,2035,0,2321416,538,625000,18622763705
118,2044,0,2505987,695,625000,18622763705
119,2057,0,2773872,675,625000,18622763705
120,2072,0,2819563,303,625000,18622763705
121,2096,0,3334574,548,625000,18622763705
122,2114,0,2921304,248,625000,18622763705
123,2124,0,2420382,681,625000,18622763705
124,2140,0,1837760,386,625000,18622763705
125,2154,0,3076720,254,625000,18622763705
126,2173,0,1931721,749,625000,18622763705
127,2188,0,2735511,639,625000,18622763705
128,2203,0,2627570,544,625000,18622763705
129,2221,0,3232349,488,625000,18622763705
130,2237,0,2887750,528,625000,18622763705
131,2253,0,2980508,344,625000,18622763705
132,2269,0,3312259,298,625000,18622763705
133,2286,0,4450178,541,625000,18622763705
134,2305,0,3517258,407,625000,18622763705
135,2318,0,3005483,475,625000,18622763705
136,2336,0,3773573,1176,625000,18622763705
137,2361,0,2569819,585,625000,18622763705
138,2367,0,2613401,597,625000,18622763705
139,2385,0,2796701,545,625000,18622763705
140,2399,0,2980330,486,625000,18622763705
141,2416,0,3289685,498,625000,18622763705
142,2432,0,3639736,486,625000,18622763705
143,2456,0,3430802,429,625000,18622763705
144,2465,0,2696935,556,625000,18622763705
145,2482,0,2775734,344,625000,18622763705
146,2500,0,3231128,705,625000,18622763705
147,2516,0,3210040,642,625000,18622763705
148,2532,0,2509666,474,625000,18622763705
149,2549,0,2808580,378,625000,18622763705
150,2565,0,3905342,551,625000,18622763705
151,2581,0,2647452,561,625000,18622763705
152,2597,0,2776202,632,625000,18622763705
153,2613,0,3304181,532,625000,18622763705
154,2629,0,2484205,609,625000,18622763705
155,2646,0,1998262,605,625000,18622763705
156,2663,0,3149078,562,625000,18622763705
157,2675,0,2991057,201,625000,18622763705
158,2691,0,3138454,252,625000,18622763705
159,2706,0,4812380,237,625000,18622763705
160,2724,0,4670828,711,625000,18622763705
161,2738,0,2249485,708,625000,18622763705
162,2761,0,3093655,735,625000,18622763705
163,2774,0,3029043,310,625000,18622763705
164,2790,0,2695925,230,625000,18622763705
165,2809,0,4057169,691,625000,18622763705
166,2829,0,2559511,722,625000,18622763705
167,2844,0,3142442,357,625000,18622763705
168,2860,0,2770753,264,625000,18622763705
169,2872,0,2598671,598,625000,18622763705
170,2889,0,1843557,391,625000,18622763705
171,2904,0,2233799,602,625000,18622763705
172,2914,0,2105188,541,625000,18622763705
173,2924,0,3079970,627,625000,18622763705
174,2946,0,3497006,635,625000,18622763705
175,2965,0,4668785,755,625000,18622763705
176,2975,0,3319779,545,625000,18622763705
177,2994,0,2737498,521,625000,18622763705
178,3011,0,2710075,37167,625000,18622763705
179,3025,0,2757696,689,625000,18622763705
180,3043,0,3023807,555,625000,18622763705
181,3053,0,1774646,367,625000,18622763705
182,3069,0,2040901,615,625000,18622763705
183,3082,0,2295413,487,625000,18622763705
184,3101,0,2823132,468,625000,18622763705
185,3119,0,3372510,644,625000,18622763705
186,3134,0,4245695,561,625000,18622763705
187,3147,0,2460535,682,625000,18622763705
188,3161,0,2570000,655,625000,18622763705
189,3175,0,2658412,541,625000,18622763705
190,3189,0,3402106,308,625000,18622763705
191,3206,0,2531574,648,625000,18622763705
192,3222,0,4244045,665,625000,18622763705
193,3235,0,2686458,275,625000,18622763705
194,3256,0,2869024,488,625000,18622763705
195,3272,0,3245843,201,625000,18622763705
196,3288,0,3081601,484,625000,18622763705
197,3304,0,3211538,236,625000,18622763705
198,3325,0,2479046,535,625000,18622763705
199,3338,0,2878954,209,625000,18622763705
200,3356,0,2048588,436,625000,18622763705
201,3372,0,2362592,421,625000,18622763705
202,3386,0,2933332,341,625000,18622763705
203,3404,0,2913113,342,625000,18622763705
204,3420,0,3012834,343,625000,18622763705
205,3443,0,3469231,665,625000,18622763705
206,3462,0,3779830,641,625000,18622763705
207,3479,0,2932265,673,625000,18622763705
208,3494,0,3132335,718,625000,18622763705
209,3511,0,2576702,548,625000,18622763705
210,3530,0,3706059,504,625000,18622763705
211,3548,0,3178903,658,625000,18622763705
212,3562,0,2250125,508,625000,18622763705
213,3579,0,3151920,702,625000,18622763705
214,3597,0,2972132,406,625000,18622763705
215,3611,0,3234289,615,625000,18622763705
216,3628,0,3028034,671,625000,18622763705
217,3645,0,2383678,484,625000,18622763705
218,3659,0,2795147,551,625000,18622763705
219,3676,0,2244655,354,625000,18622763705
220,3696,0,2496813,642,625000,18622763705
221,3710,0,2873760,749,625000,18622763705
222,3727,0,4058655,571,625000,18622763705
223,3744,0,3124139,732,625000,18622763705
224,3759,0,2859971,414,625000,18622763705
225,3774,0,3347397,591,625000,18622763705
226,3795,0,2627041,679,625000,18622763705
227,3809,0,2718631,681,625000,18622763705
228,3824,0,3114631,307,625000,18622763705
229,3849,0,2629904,341,625000,18622763705
230,3865,0,3583241,735,625000,18622763705
231,3883,0,2803390,535,625000,18622763705
232,3901,0,2799101,488,625000,18622763705
233,3918,0,3258488,364,625000,18622763705
234,3933,0,2765993,624,625000,18622763705
235,3947,0,1962512,333,625000,18622763705
236,3962,0,3284776,604,625000,18622763705
237,3978,0,2933122,578,625000,18622763705
238,3995,0,2776520,608,625000,18622763705
239,4010,0,3040463,488,625000,18622763705
240,4029,0,4233973,427,625000,18622763705
241,4038,0,3286353,409,625000,18622763705
242,4054,0,2793611,224,625000,18622763705
243,4072,0,3157086,738,625000,18622763705
244,4094,0,5319954,578,625000,18622763705
245,4106,0,3466080,591,625000,18622763705
246,4122,0,2868043,448,625000,18622763705
247,4140,0,2845769,489,625000,18622763705
248,4153,0,2914676,625,625000,18622763705
249,4177,0,3615346,645,625000,18622763705
250,4193,0,2744353,11461,625000,18622763705
251,4212,0,3145377,795,625000,18622763705
252,4228,0,2700920,601,625000,18622763705
253,4240,0,2766266,622,625000,18622763705
254,4252,0,1862571,1033,625000,18622763705
255,4268,0,2196689,523,625000,18622763705
256,4284,0,2202466,732,625000,18622763705
257,4304,0,2607887,618,625000,18622763705
258,4316,0,5501426,614,625000,18622763705
259,4330,0,4559001,789,625000,18622763705
260,4349,0,2975769,732,625000,18622763705
261,4367,0,3344507,568,625000,18622763705
262,4386,0,2804899,1033,625000,18622763705
263,4401,0,4902367,758,625000,18622763705
264,4416,0,3073828,638,625000,18622763705
265,4437,0,2716313,742,625000,18622763705
266,4455,0,2000400,769,625000,18622763705
267,4470,0,2966674,455,625000,18622763705
268,4489,0,2280802,555,625000,18622763705
269,4497,0,2522412,555,625000,18622763705
270,4510,0,2628605,585,625000,18622763705
271,4526,0,2805611,668,625000,18622763705
272,4541,0,3117453,604,625000,18622763705
273,4557,0,3963119,692,625000,18622763705
274,4577,0,2842477,642,625000,18622763705
275,4592,0,3404093,715,625000,18622763705
276,4612,0,4121893,615,625000,18622763705
277,4633,0,3676723,685,625000,18622763705
278,4646,0,3204269,594,625000,18622763705
279,4667,0,3592967,638,625000,18622763705
280,4689,0,3540889,504,625000,18622763705
281,4703,0,4443842,535,625000,18622763705
282,4713,0,3171634,702,625000,18622763705
283,4730,0,2715106,508,625000,18622763705
284,4746,0,2042084,708,625000,18622763705
285,4763,0,3136671,775,625000,18622763705
286,4781,0,2344687,664,625000,18622763705
287,4792,0,4014148,444,625000,18622763705
288,4812,0,2664755,695,625000,18622763705
289,4826,0,3516776,548,625000,18622763705
290,4844,0,2511975,722,625000,18622763705
291,4860,0,4026851,514,625000,18622763705
292,4877,0,2968970,755,625000,18622763705
293,4892,0,2986864,692,625000,18622763705
294,4908,0,3316949,408,625000,18622763705
295,4926,0,3061436,705,625000,18622763705
296,4940,0,2736934,812,625000,18622763705
297,4959,0,3119819,775,625000,18622763705
298,4977,0,2930322,605,625000,18622763705
